nome,area,org,municipio
Operação Andaime III (PB),Obras,municipal;federal,Cajazeiras (PB);Monte Horebe (PB);Bonito de Santa Fé (PB);Uiraúna (PB)
Operação Remenda (PE),"Turismo;Agricultura, Pecuária e Abastecimento",federal,
Operação Mar de Lama (MG),Integração Nacional,municipal;estadual,Governador Valadares 
Operação Pecúlio (PR),Diversos,municipal,Foz do Iguaçu
Operação Laudêmio (SE),"Planejamento, Orçamento e Gestão",municipal;estadual,Aracaju
Operação Imperador (BA),Educação,municipal,Riacho de Santana;Guanambi
Operação Cartas Chilenas (AM),Saúde;Educação,municipal;estadual,Pauini;Boca do Acre;Manaus;Rio Branco
Operação Fazendas de Lama  2ª Fase ; Lama Asfáltica (MS),Diversos,municipal,Campo Grande (MS);Rio Negro (MS);Curitiba (PR);Maringá (PR);Presidente Prudente (SP);Tanabi (SP)
Operação Terra Arrasada (PB),Desenvolvimento Agrário,,
Operação Água de Prata (SC),Saúde,municipal,
Operação Mar de Lama  3ª fase (MG),Integração Nacional,municipal,Governador Valadares
Operação Lessons (PA),Educação,municipal,Marituba
Operação Bota-Fora (RJ),Esporte,municipal,Duque de Caxias/RJ
Operação Clã (DF),Cidades,,
Operação Tarja Preta (MS),Saúde,municipal,Campo Grande;Naviraí;Três Lagoas
Operação Brotherhood (AL),Educação,municipal,Traipu
Operação Desumanidade II (PB),Saúde;Educação,municipal,Quixaba
Operação Boca Livre (SP),Cultura,,
Operação Aviões de Lama - 3ª Fase Lama Asfáltica (MG),Diversos,municipal,Campo Grande (MS);Cuiabá (MT);Rondonópolis (MT);Tanabi (SP)
6ª fase da operação Mar de Lama (MG),Educação,municipal,Governador Valadares
Operação Mamulengo (MG),Diversos,municipal;estadual,
Operação Mato Cerrado (BA),Saúde;Educação,municipal,Caatiba (BA)
Operação Burla (BA),Diversos,municipal;estadual,Pindaí;Tanque Novo;Candiba;Caitité
Operação Déspota (PI),Educação,municipal;estadual,Redenção do Gurguéia
Operação Desdobramento Andaime (PB),Diversos,municipal,Sousa;Joca Claudino;Uiraúna;Bernardino Batista
Operação Cardeiro (PB),Saúde,municipal,Princesa Isabel
Operação Copérnico (BA),Saúde,,
Operação São João (PB),Diversos,municipal,Patos (PB)
Operação Kamikaze II (RO),Diversos,municipal,Porto Velho (RO);Guajará-Mirim (RO)
Operação Nemeus (RJ),Esporte,,
Operação Decantação (GO),Cidades,,
Operação Miserere Nobis (MG),Saúde,municipal,São Sebastião do Paraíso;Lavras;na capital Belo Horizonte
Operação Matreiro (RO),Educação;Justiça,,
Operação Veiculação (PB),Educação;Trabalho e Emprego;Saúde,,
Operação Fratello (CE),Fundo Constitucional do Nordeste (FNE),municipal,Juazeiro do Norte
Operação Maus Caminhos (AM),Saúde,municipal,Rio Preto da Eva
Operação Abscôndito (MA),Saúde,municipal;estadual,São Luís (MA);Imperatriz (MA);Araguaína (TO);Palmas (TO);Goiânia (GO);Juquitiba (SP);Arenópolis (TO)
Operação Voadores (MA),Saúde,municipal;estadual,São Luís (MA);Imperatriz (MA);Araguaína (TO);Palmas (TO);Goiânia (GO);Juquitiba (SP);Arenópolis (TO)
Operação Migalhas (AP),Educação,municipal,Santana (AP);na capital Macapá
Operação Ápia (TO),Financiamento BNDES,municipal,Goiânia;Aparecida de Goiânia;Anápolis
Operação Boca Livre S/A (SP),Cultura,municipal,São Paulo;São Bernardo do Campo;Santo André;Campinas;Jundiaí;Barueri Cerquilho;Várzea Paulista
Operação Full House (TO),Saúde;Educação;Cultura,,
Operação Cheque em Branco (PA),Saúde;Educação,,
Operação Manobra de Osler (SC),Saúde,municipal,Chapecó;São José
Operação Maturu (PA),Educação;Saúde,municipal;estadual,Porto de Moz
Operação Puma (PA),Educação;Saúde,municipal,Ourilândia do Norte
Operação Vigilante (BA),Educação,municipal,Malhada de Pedras (BA)
Operação Manipulação (BA),Saúde,municipal,Palmas do Monte Alto (BA)
Operação Três Climas (CE),Educação;Turismo;Esporte,municipal;estadual,Itapipoca;Ocara;Pacajus
Operação Hefesta (SP),Cultura,municipal,São Bernardo do Campo
Operação Cooperari (MA),Educação,municipal,São José de Ribamar;São Luis;Paço do Lumiar
Operação Timóteo (DF),Minas e Energia,municipal,
Operação Andaime - 4ª Fase (PB),Cidades; Turismo,municipal,Cajazeiras/PB;João Pessoa/PB;Jaguaribe/CE
Operação Manobra de Osler - 2ª Fase (SC),Saúde,municipal,Chapecó;Pato Branco (PR)
Operação Cosa Nostra (PE),Saúde; Educação,municipal,Agrestina;Caruaru;Garanhuns;São João
Operação Betsaida (GO),Pesca,municipal,Goiânia;Aparecida de Goiânia;Itauçu;Abadia de Goiás
Operação Research (PR),"Ciência, Tecnologia e Inovação",municipal,Curitiba;São José dos Pinhais;Francisco Beltrão;Ponta Grossa;Almirante Tamandaré;Antonina;assim como nas cidades do Rio de Janeiro;de Campo Grande
Operação Research - 2ª Fase (PR),"Ciência, Tecnologia e Inovação",,
Operação Brotherhood - 2ª Fase (AL),Educação,municipal;estadual,Atalaia;Canapi;Igreja Nova;Joaquim Gomes;Limoeiro do Anadia;São Luiz do Quitunde
Operação Tyrannos - 2ª fase (MG),Cidades,municipal,Martins Soares;Durandé
Operação Licitante Fantasma (MS),Diversos,,
Operação História de Pescador - 2ª Fase (PA),Pesca e Aquicultura,,
Operação Research - 3ª Fase (PR),Educação,municipal,Curitiba (PR);São José dos Pinhais (PR);Campo Grande (MS);Corumbá (MS);Natal (RN)
Operação Sururugate (AL),Desenvolvimento Social,,
Operação Rota 26 (TO),Desenvolvimento Agrário,municipal,
Operação Toque de Midas (MS),Educação,municipal,Paranhos (MS)
Operação Escamoteamento (PI),,municipal,Cocal (PI)
Operação Primo Rico (AL),Saúde;Educação,municipal,Ibateguara
Operação Toque de Midas II (MS),Educação,municipal,ensino de Paranhos
Operação Lama Asfáltica - 4ª Fase (MS),Diversos,,
Operação Couraça (PE),Educação;Saúde;Infraestrutura,municipal,Itapetim;Brejinho;no sertão pernambucano
Operação Tarja Preta II (MS),Saúde,municipal,
Operação Rêmora (MA),Saúde,,
Operação Pastor (PI),Educação;Integração Nacional;Saúde,municipal,Dom Inocêncio (PI)
Operação Domiciano (MG),Justiça,municipal,Uberlândia;Canápolis;Monte Alegre;Itumbiara;Araguari;Centralina;Delfinópolis
Operação Empreitada Final (MG),,,
Operação Abaçaí (AC),Saúde,,
Opração Liber Pater (RS),Estatais,municipal,Bento Gonçalves (RS)
Operação Genesis (BA),Educação,municipal,Porto Seguro em 2013
Operação Correlatos (AL),Saúde,municipal,Maceió;Arapiraca;além de Recife (PE);Paulista (PE);Aracaju (SE);Brasília (DF)
Operação Mark Up (MT),,municipal,Chapecó (SC)
Operação Cambota (MS),,,
Operação Fraternidade (CE),Educação,municipal,
Operação Ouvidos Moucos (SC),Educação,,
Operações Chronos (BA),Diversos,municipal,Aracatu;Palmas de Monte Alto;respectivamente - têm como objetivo desarticular esquema criminoso de desvio recursos públicos no interior da Bahia
Operação Syagrus (BA),Diversos,municipal,Aracatu;Palmas de Monte Alto;respectivamente - têm como objetivo desarticular esquema criminoso de desvio recursos públicos no interior da Bahia
Operação Inflet (BA),Educação,,
Operação Mata Norte (PE),Educação,municipal,Lagoa do Carro (PE)
Operação Mata Norte - 3ª fase (PE),Educação,municipal,Lagoa do Carro
Operação Inópia (RJ),,municipal,Nova Iguaçu;Mesquita;São João do Meriti
Operação Escamoteamento (PI) - 2ª fase,,municipal,Cocal (PI)
Operação Asfixia (AC),Saúde,municipal;estadual,Rio Branco (AC);Campo Grande (MS);também no estado do Ceará
Operação taturana (MG),Obras,municipal,Governador Valadares;Virgulândia;Nacip Raydan;Peçanha;Nova Era;Alpercata
Operação Argentum (PI),Educação,municipal,Prata do Piauí (PI)
Operação Samidarish (PE),Educação;Saúde;Assistência Social,municipal,Buenos Aires;Carpina;Paulista;Aliança;Paudalho;Limoeiro
Operação Buracos (AC),Transportes,municipal,Rio Branco (AC);Porto Velho (RO);Pimenta Bueno (RO);Ji-Paraná (RO);Cuiabá (MT);Araraquara (SP);com a participação de cerca de 150 pessoas;entre policiais federais;auditores da CGU;auditores do TCU;auditores da RFB
Operação Senhores da Fome (AP),Educação,municipal,
Operação Fraternos (BA),Educação,municipal,
Operação Titânio (PB),Saúde,municipal;estadual,Sumé (PB)
Operação Concorrência Zero (PA),Educação,municipal;estadual,
Operação Torrentes (PE),Integração Nacional,municipal;estadual,
Operação Papiros de Lama (MS),Diversos,,
Operação Pegadores (MA),Diversos,municipal,São Luís/MA;Imperatriz/MA;Amarante/MA;Teresina/PI
Opração Laranja Mecânica (RS),Educação,municipal,Santana do Livramento;Dom Pedrito
Operação Desumanidade - 3ª fase (PB),Obras,municipal,Malta
Operação Lateronis (BA),Educação,municipal,
Operação Controle Institucional,,municipal,Itaituba (PA)
Operação Tapauara (AM),Educação;Saúde,municipal,Tapauá;Manaus;ambos no Amazonas
Operação Torniquete (SP),Saúde;Obras,municipal,São Sebastião;Ilhabela;Caraguatatuba;São José dos Campos;São Paulo
Operação Forte do Castelo (PA),PAC;Esporte;BNDES;Saúde,municipal,Belém ultrapassaram o montante de R$ 500 milhões
Operação Melinoe (BA),Educação,municipal,Jequié (BA)
Operação Esperança Equilibrista (MG),Educação,,
Operação Torre de Marfim (SC),Educação,,
Operação Custo Político (AM),Saúde,municipal,Manaus (AM);Brasília (DF);São Paulo (SP);Recife (PE)
Operação Bons Princípios (PI),Educação;Saúde,municipal;estadual,Bom Princípio;Parnaíba;Teresina
Operação Gênesis (PE),Educação,municipal,Quipapá (PE)
Operação Senhores da Fome 2ª fase (AP),Educação,,
Operação Estado de Emergência (AM),Saúde,municipal,Rio Preto da Eva
Operação Controle de Qualidade (ES),Obras,municipal,Vitória (ES);Vila Velha (ES)
Operação Caixa 3,Operaç?es de Crédito,,
Operação Curriculum,Educação,,
Operação Again (MS),Saúde,municipal,Campo Grande (MS);Dourados (MS);Belém (PA);com a participação de aproximadamente 100 policiais federais;16 auditores da CGU
Operação Torrentes II - Círculo de Fogo,Integração Nacional,municipal;estadual,Recife (PE);Jaboatão dos Guararapes (PE);São Luís (MA)
Operação 14 Bis (PR),Educação,municipal,Cornélio Procópio;Maringá;Uraí;Nova América da Colina
Operação Amphibia (MG),Saúde,,
Operação Torniquete 2 (SP),Saúde,,
Operação Apate (MT),Cultura,municipal;estadual,Cuiabá (MT)
Operação Xeque-Mate (RO),Cultura,municipal,Porto Velho (RO)
Operação Desconstrução (BA),Educação;Saúde,municipal,Anagé
Operação Prato Feito (SP),Educação,municipal,São Paulo
Operação Catabiu (AL),Infraestrutura,estadual,
Operação Ciranda (RO),Educação,municipal,Manacapuru (AM);Porto Velho (RO);Rio Branco (AC);Recife (PE)
Operação Diagnosis (AP e PA),Saúde,municipal,Macapá (AP);Belém (PA);Ananindeua (PA)
Operação Ciranda de Pedra (BA),Obras,municipal,Maiquinique (BA)
Operação Topique (PI e MA),Educação,municipal,São Raimundo Nonato;Campo Maior;Miguel Alves;Luís Correia;Caracol;Regeneração;bem como por meio de análises de contratações efetuadas pelo Estado do Piauí junto às empresas do grupo investigado;além de fiscalizações realizadas nos municípios maranhenses de Timon;São João do Sóter
Operação Marcha à Ré (SE),Educação,municipal,Aracaju;Boquim;Estância;Nossa Senhora do Socorro;Lagarto;Nossa Senhora das Dores;São Cristóvão
Operação Offerus (BA),Educação,municipal,Alagoinhas;Casa Nova;Conde;Ipirá;Jequié;Pilão Arcado
Operação Escamoteamento 3ª fase (PI),,municipal,Buriti dos Lopes (PI)
Operação Patriarcado (SC),Saúde,municipal,Chapecó (SC);Xanxerê (SC);Maringá (PR)
Operação Hospitator (PA),educação;saúde;assistência social,municipal,Abaetetuba (PA)
Operação Arauto (AP),,,
Operação Cashback (AM),Saúde,,
Operações Grande Salto (PA),Educação,municipal,Goianésia do Pará
Operação Frota de Barro (PA),Educação,municipal,Goianésia do Pará
Operação Tritão (SP),Infraestrutura,,
Operação Sombra e Escuridão (BA),licitações,municipal,Igrapiúna (BA) liderava um grupo de empresas de fachada 
Operação Magnus (BA),licitações,municipal,Igrapiúna (BA) liderava um grupo de empresas de fachada 
Operação Carta de Foral (PA),Educação,municipal,
Operação Bricolagem (CE),Obras;Educação,municipal,Fortaleza;Granjeiro;Juazeiro do Norte;Aurora;Várzea Alegre;Caririaçu
Operação Recidiva (PB),Infraestrutura;Educação;Saúde,municipal,Barra de Santa Rosa;Brejo do Cruz;Emas;Imaculada;Juru;São José do Bonfim;São Sebastião de Lagoa de Roça;Teixeira
Operação Computadores de Lama (MS),Diversos,municipal,Campo Grande (MS);Jaraguari (MS);Dourados (MS);Paranhos (MS)
Operação Sesmaria (AL),Educação,municipal,Boca da Mata (AL)
"Operação Recidiva (PB, CE, PE, AL, RN)",Infraestrutura;Educação;Saúde,municipal,João Pessoa;Patos
Operação Trato Feito (SP),Educação,municipal,São Paulo
Operação Zaragata (RR),Educação,municipal,Roraima
Operação Forte do Castelo 2ª fase (PA),Infraestrutura,,
Operação Pityocampa (BA),Saúde,municipal,Feira de Santana (BA)
Operação Deadline (PE),Saúde,municipal,
Operação Graham Bell (CE),Saúde,municipal,Juazeiro do Norte (CE)
Operação Déjà Vu (TO),Saúde,municipal;estadual,Araguaína (TO)
Operação Tapiraguaia (MT),Educação,municipal,Confresa (MT)
